Date,Open,High,Low,Close,Volume,Adj Close
2015-03-31,5.20,5.20,4.95,4.97,73655200,4.88
2015-03-30,5.00,5.01,4.89,4.93,72531900,4.841
2015-03-27,4.89,4.89,4.77,4.82,26002000,4.733
2015-03-26,4.89,4.94,4.81,4.83,35937900,4.743
2015-03-25,4.96,4.96,4.84,4.88,26665600,4.792
2015-03-24,4.99,4.99,4.85,4.88,35103900,4.792
2015-03-23,5.03,5.03,4.85,4.96,35368700,4.871
2015-03-20,5.06,5.09,4.93,4.95,84733000,4.861
2015-03-19,4.90,5.04,4.86,5.03,122776800,4.939
2015-03-18,4.79,4.87,4.71,4.84,68277800,4.753
2015-03-17,4.73,4.77,4.69,4.76,30562000,4.674
2015-03-16,4.62,4.72,4.58,4.69,34172400,4.605
2015-03-13,4.65,4.69,4.60,4.67,43586100,4.586
2015-03-12,4.69,4.72,4.61,4.63,46804400,4.547
2015-03-11,4.65,4.78,4.61,4.63,48825800,4.547
2015-03-10,4.80,4.80,4.68,4.71,40489100,4.625
2015-03-09,4.71,4.80,4.65,4.76,55198100,4.674
2015-03-06,4.79,4.81,4.66,4.68,78250200,4.596
2015-03-05,4.76,4.86,4.76,4.78,53894600,4.694
2015-03-04,4.87,4.90,4.74,4.80,51587400,4.713
2015-03-03,4.96,5.01,4.84,4.87,45417200,4.782
2015-03-02,5.18,5.20,4.95,5.04,65900000,4.949
2015-02-27,5.02,5.16,4.97,5.02,121618100,4.93
2015-02-26,5.03,5.03,4.95,5.00,67759900,4.91
2015-02-25,5.00,5.03,4.92,4.99,65491900,4.90
2015-02-24,5.00,5.00,4.93,4.94,46337000,4.851
2015-02-23,5.00,5.00,4.86,4.98,58394400,4.89
2015-02-20,4.98,4.98,4.98,4.98,000,4.89
2015-02-19,4.98,4.98,4.98,4.98,000,4.89
2015-02-18,4.86,5.00,4.86,4.98,41180600,4.89
2015-02-17,4.86,4.94,4.84,4.90,34667100,4.812
2015-02-16,4.90,4.92,4.80,4.89,29765700,4.802
2015-02-13,4.98,5.03,4.86,4.90,114171000,4.812
2015-02-12,4.92,5.22,4.85,4.97,233763500,4.88
2015-02-11,4.89,4.90,4.81,4.83,47382800,4.743
2015-02-10,4.80,4.90,4.78,4.86,65996300,4.772
2015-02-09,4.83,4.87,4.76,4.85,67273800,4.763
2015-02-06,4.82,4.85,4.73,4.77,77186900,4.684
2015-02-05,4.77,4.86,4.71,4.77,85654300,4.684
2015-02-04,4.68,4.81,4.68,4.77,82004600,4.684
2015-02-03,4.66,4.71,4.62,4.68,48845700,4.596
2015-02-02,4.51,4.68,4.50,4.67,50547800,4.586
2015-01-30,4.58,4.64,4.56,4.60,49448000,4.517
2015-01-29,4.63,4.68,4.49,4.54,90492200,4.458
2015-01-28,4.79,4.79,4.71,4.73,43627500,4.645
2015-01-27,4.83,4.83,4.73,4.75,50667200,4.664
2015-01-26,4.76,4.83,4.71,4.77,49017700,4.684
2015-01-23,4.72,4.81,4.70,4.79,93385600,4.704
2015-01-22,4.60,4.70,4.55,4.63,100384100,4.547
2015-01-21,4.34,4.59,4.33,4.53,94084700,4.448
2015-01-20,4.29,4.35,4.26,4.31,48544400,4.232
2015-01-19,4.37,4.37,4.15,4.22,83532800,4.144
2015-01-16,4.42,4.43,4.31,4.34,80091100,4.262
2015-01-15,4.55,4.55,4.42,4.44,66193400,4.36
2015-01-14,4.53,4.59,4.48,4.49,49801000,4.409
2015-01-13,4.42,4.54,4.39,4.53,45415500,4.448
2015-01-12,4.50,4.51,4.41,4.43,38455000,4.35
2015-01-09,4.48,4.63,4.44,4.48,84470400,4.399
2015-01-08,4.50,4.50,4.38,4.43,50900200,4.35
2015-01-07,4.48,4.52,4.45,4.47,46304900,4.389
2015-01-06,4.59,4.59,4.48,4.52,39309400,4.439
2015-01-05,4.53,4.61,4.51,4.54,48684700,4.458
2015-01-02,4.57,4.66,4.53,4.61,27997600,4.527
2015-01-01,4.54,4.54,4.54,4.54,000,4.458
