Date,Open,High,Low,Close,Volume,Adj Close
2015-03-31,93.50,93.50,92.10,93.10,2930900,90.796
2015-03-30,90.65,93.00,90.65,91.40,1806200,89.138
2015-03-27,90.35,90.85,89.95,90.35,2399600,88.114
2015-03-26,93.50,93.50,91.50,91.90,2521900,89.626
2015-03-25,88.55,93.10,88.55,92.25,6609000,89.967
2015-03-24,86.00,88.10,84.50,87.50,3234500,85.335
2015-03-23,86.15,87.60,85.25,85.50,2191600,83.384
2015-03-20,86.05,86.95,86.05,86.60,1759700,84.457
2015-03-19,87.60,87.90,86.45,86.70,1864700,84.555
2015-03-18,85.95,87.05,85.75,86.45,1325300,84.311
2015-03-17,85.10,86.45,84.55,86.30,1386600,84.165
2015-03-16,83.50,86.15,83.50,85.65,1604700,83.531
2015-03-13,84.75,85.65,84.20,84.30,1425200,82.214
2015-03-12,85.05,85.55,84.55,84.75,1504900,82.653
2015-03-11,85.00,86.90,85.00,85.65,994800,83.531
2015-03-10,86.10,87.00,85.55,85.90,2027800,83.774
2015-03-09,89.00,89.00,86.85,87.00,831600,84.847
2015-03-06,89.90,89.90,87.30,87.40,1402700,85.237
2015-03-05,87.30,88.45,87.30,88.25,1416100,86.066
2015-03-04,88.50,89.60,87.45,87.65,1420700,85.481
2015-03-03,89.60,90.10,88.60,88.85,1067100,86.651
2015-03-02,90.00,90.80,89.00,90.35,2638100,88.114
2015-02-27,91.50,91.50,88.60,88.95,2030300,86.749
2015-02-26,90.00,90.90,89.00,89.90,2058100,87.675
2015-02-25,89.85,90.05,88.50,89.40,1802300,87.188
2015-02-24,88.95,90.15,88.70,89.50,1139300,87.285
2015-02-23,88.25,89.95,87.05,88.90,1656300,86.70
2015-02-20,89.95,89.95,89.95,89.95,000,87.724
2015-02-19,89.95,89.95,89.95,89.95,000,87.724
2015-02-18,90.00,90.65,88.65,89.95,940600,87.724
2015-02-17,89.15,90.00,89.00,90.00,1111000,87.773
2015-02-16,90.45,90.45,89.15,89.35,556100,87.139
2015-02-13,88.80,90.20,88.35,89.65,1130900,87.432
2015-02-12,87.60,89.30,87.10,89.15,1740000,86.944
2015-02-11,91.00,91.00,87.40,87.65,2798500,85.481
2015-02-10,89.30,89.85,88.05,89.40,2855800,87.188
2015-02-09,90.35,91.40,88.85,89.05,2082700,86.847
2015-02-06,92.15,92.60,90.35,90.90,2863200,88.651
2015-02-05,92.20,94.30,91.15,91.85,2801800,89.577
2015-02-04,93.10,93.35,91.05,91.75,1246100,89.48
2015-02-03,89.65,94.35,89.65,93.35,4628800,91.04
2015-02-02,91.50,93.00,89.25,90.00,2959100,87.773
2015-01-30,88.95,92.35,88.80,92.25,6937700,89.967
2015-01-29,86.35,88.90,85.40,88.80,4621900,86.603
2015-01-28,84.55,85.90,84.50,85.75,2388100,83.628
2015-01-27,85.75,85.75,84.10,84.15,1452500,82.068
2015-01-26,84.75,85.90,84.00,84.35,1892100,82.263
2015-01-23,84.85,85.55,84.35,85.35,2327200,83.238
2015-01-22,84.50,84.70,82.80,83.70,1969600,81.629
2015-01-21,82.90,84.05,82.75,83.90,2293000,81.824
2015-01-20,82.00,83.20,81.25,82.65,2341900,80.605
2015-01-19,80.80,82.00,80.70,81.95,2546300,79.922
2015-01-16,81.80,81.80,80.65,80.80,2672400,78.801
2015-01-15,81.10,82.60,81.00,81.35,1741000,79.337
2015-01-14,80.65,80.85,80.15,80.50,1667600,78.508
2015-01-13,80.45,81.00,79.80,80.80,785300,78.801
2015-01-12,80.70,80.80,79.95,80.45,840200,78.459
2015-01-09,80.00,80.50,79.35,80.00,2260800,78.02
2015-01-08,78.20,79.10,77.50,79.00,2417100,77.045
2015-01-07,77.60,78.00,77.00,77.10,3403600,75.192
2015-01-06,78.50,79.40,77.90,78.15,2286100,76.216
2015-01-05,80.40,80.40,78.20,79.00,1437800,77.045
2015-01-02,81.20,81.20,78.70,80.70,1046000,78.703
2015-01-01,81.05,81.05,81.05,81.05,000,79.044
