Date,Open,High,Low,Close,Volume,Adj Close
2015-03-31,54.25,54.45,53.40,54.15,9166100,52.99651
2015-03-30,53.20,54.15,53.20,53.90,5455000,52.75184
2015-03-27,53.30,53.80,52.60,53.60,4688800,52.45822
2015-03-26,52.55,53.40,52.35,53.30,4415100,52.16462
2015-03-25,52.40,52.95,52.05,52.65,6333500,51.52846
2015-03-24,52.45,52.70,51.95,52.10,5896800,50.99018
2015-03-23,53.00,53.25,52.45,52.70,12015700,51.5774
2015-03-20,51.85,53.25,51.65,53.00,13597300,51.87101
2015-03-19,51.35,53.15,51.00,53.00,14185600,51.87101
2015-03-18,49.95,51.60,49.50,50.75,8547000,49.66894
2015-03-17,50.65,50.90,49.65,49.75,10836000,48.69024
2015-03-16,52.30,52.30,50.60,50.75,13810700,49.66894
2015-03-13,53.55,53.55,52.35,52.50,6374800,51.38166
2015-03-12,53.75,53.95,52.95,53.10,4870500,51.96888
2015-03-11,53.50,54.05,53.10,53.80,3707200,52.65397
2015-03-10,54.85,54.85,53.55,53.60,5059600,52.45822
2015-03-09,54.15,54.55,54.15,54.45,3914200,53.29012
2015-03-06,55.50,55.95,54.85,55.00,5274200,53.8284
2015-03-05,56.60,56.60,54.55,54.90,7497200,53.73054
2015-03-04,57.25,57.25,56.00,56.25,4404400,55.05178
2015-03-03,56.95,57.25,56.20,56.80,4703300,55.59006
2015-03-02,57.50,57.50,56.10,56.45,6143800,55.24752
2015-02-27,58.15,58.45,56.50,56.55,11067700,55.34539
2015-02-26,58.85,59.40,58.10,58.25,6707200,57.00917
2015-02-25,60.70,60.70,59.00,59.10,3627300,57.84107
2015-02-24,60.70,60.70,59.45,59.60,2315100,58.33041
2015-02-23,60.60,60.80,60.00,60.45,3198700,59.16231
2015-02-20,59.80,59.80,59.80,59.80,000,58.52615
2015-02-19,59.80,59.80,59.80,59.80,000,58.52615
2015-02-18,59.80,60.50,59.60,59.80,2114400,58.52615
2015-02-17,60.30,60.75,59.25,59.35,4165100,58.08574
2015-02-16,59.90,60.70,59.90,60.30,2635000,59.0155
2015-02-13,60.00,60.45,59.65,59.90,3682500,58.62403
2015-02-12,59.95,59.95,58.60,59.00,3125000,57.7432
2015-02-11,60.30,60.50,59.40,59.65,3325000,58.37935
2015-02-10,60.30,60.85,59.30,60.70,3529600,59.40698
2015-02-09,61.00,61.10,59.70,59.80,3875100,58.52615
2015-02-06,62.50,62.50,61.20,61.45,2095600,60.14101
2015-02-05,62.30,62.75,61.70,61.95,2455600,60.63036
2015-02-04,62.00,62.40,61.35,61.70,3492700,60.38568
2015-02-03,62.55,63.00,60.45,61.25,6465000,59.94527
2015-02-02,62.95,63.50,62.30,62.80,3391500,61.46225
2015-01-30,62.80,63.90,62.70,63.00,5692500,61.65799
2015-01-29,62.40,62.80,62.30,62.70,2379700,61.36438
2015-01-28,62.00,62.90,61.60,62.50,4210700,61.16864
2015-01-27,61.85,62.00,61.50,61.55,2362000,60.23888
2015-01-26,62.00,62.00,60.90,61.25,1790500,59.94527
2015-01-23,60.95,61.75,60.80,61.70,3423700,60.38568
2015-01-22,60.10,60.90,59.55,60.55,1752500,59.26018
2015-01-21,59.75,60.50,59.35,60.40,2853600,59.11338
2015-01-20,59.20,60.00,59.00,59.35,1969700,58.08574
2015-01-19,60.00,60.00,58.80,59.25,2623400,57.98787
2015-01-16,60.05,60.75,60.05,60.10,2769300,58.81976
2015-01-15,60.55,61.20,60.25,60.95,2898300,59.65166
2015-01-14,62.00,62.00,60.45,60.55,2555300,59.26018
2015-01-13,61.00,61.35,60.80,61.15,4251300,59.8474
2015-01-12,59.40,61.55,59.40,61.00,7530100,59.70059
2015-01-09,58.75,59.45,58.30,59.35,7973000,58.08574
2015-01-08,58.50,58.50,57.40,58.20,5053200,56.96024
2015-01-07,57.50,57.60,56.05,57.10,7555400,55.88367
2015-01-06,56.70,57.15,56.40,57.00,4687500,55.7858
2015-01-05,56.70,58.20,56.50,57.75,4496300,56.51982
2015-01-02,56.50,57.50,56.10,57.25,3757900,56.03048
2015-01-01,56.00,56.00,56.00,56.00,000,54.8071
