Date,Open,High,Low,Close,Volume,Adj Close
2015-03-31,53.00,53.30,50.95,51.95,2903000,51.471
2015-03-30,52.50,54.80,52.30,52.35,1953400,51.868
2015-03-27,50.95,51.80,50.80,51.70,1185000,51.224
2015-03-26,50.20,51.45,49.80,51.00,1561700,50.53
2015-03-25,49.60,50.45,49.60,50.05,1107600,49.589
2015-03-24,51.10,51.10,49.20,49.70,1644700,49.242
2015-03-23,51.20,51.75,50.15,50.25,2474600,49.787
2015-03-20,51.25,51.95,50.20,51.10,8222700,50.629
2015-03-19,49.00,50.40,49.00,50.30,2758100,49.837
2015-03-18,47.95,49.30,47.95,48.85,1663700,48.40
2015-03-17,47.95,48.25,47.55,47.75,942100,47.31
2015-03-16,47.50,48.10,47.50,47.95,1682200,47.508
2015-03-13,48.20,48.50,47.50,47.60,2366100,47.162
2015-03-12,49.00,49.15,48.40,48.50,2129000,48.053
2015-03-11,49.30,49.30,48.50,48.55,873300,48.103
2015-03-10,48.70,49.75,48.70,49.60,1599700,49.143
2015-03-09,48.55,49.15,48.40,48.75,1159800,48.301
2015-03-06,48.25,49.20,48.25,48.60,1237500,48.152
2015-03-05,48.90,49.50,48.20,48.30,1608800,47.855
2015-03-04,49.00,49.75,48.85,49.05,1208100,48.598
2015-03-03,49.15,49.95,48.85,49.30,2406200,48.846
2015-03-02,49.15,50.10,49.05,49.40,1379300,48.945
2015-02-27,49.70,49.95,48.95,49.05,1515100,48.598
2015-02-26,49.35,50.10,49.05,49.70,1373000,49.242
2015-02-25,48.80,49.70,48.65,49.55,1469300,49.094
2015-02-24,48.85,49.15,48.50,48.65,2262900,48.202
2015-02-23,49.80,49.80,48.95,49.00,1329100,48.549
2015-02-20,50.00,50.00,50.00,50.00,000,49.539
2015-02-19,50.00,50.00,50.00,50.00,000,49.539
2015-02-18,50.15,50.60,49.90,50.00,942000,49.539
2015-02-17,50.20,50.75,50.20,50.40,442500,49.936
2015-02-16,50.35,50.55,50.05,50.50,3564000,50.035
2015-02-13,50.55,50.85,50.00,50.45,1022500,49.985
2015-02-12,50.70,50.80,50.00,50.50,3053200,50.035
2015-02-11,51.05,51.65,50.95,51.00,682600,50.53
2015-02-10,51.15,51.50,50.80,51.25,774900,50.778
2015-02-09,51.00,51.30,50.80,51.10,548900,50.629
2015-02-06,51.05,51.50,51.00,51.30,778200,50.827
2015-02-05,51.00,52.00,50.90,51.05,1304000,50.58
2015-02-04,52.10,52.10,50.80,51.05,6130400,50.58
2015-02-03,51.05,51.80,50.80,51.50,2129600,51.026
2015-02-02,52.20,52.20,51.00,51.05,1343100,50.58
2015-01-30,53.00,53.10,51.95,52.05,1117600,51.571
2015-01-29,52.65,53.45,52.10,52.60,1851000,52.115
2015-01-28,53.25,53.45,52.50,53.15,1931600,52.66
2015-01-27,53.70,54.00,52.90,52.95,1720000,52.462
2015-01-26,54.00,54.00,53.20,53.45,966500,52.958
2015-01-23,54.60,54.85,53.55,53.95,1681000,53.453
2015-01-22,54.30,54.30,53.80,53.90,921800,53.403
2015-01-21,53.10,54.20,52.80,53.90,617300,53.403
2015-01-20,53.00,54.50,52.20,53.30,1211300,52.809
2015-01-19,53.10,53.40,51.40,51.95,990300,51.471
2015-01-16,54.00,54.00,52.80,53.20,907700,52.71
2015-01-15,53.80,54.00,53.10,53.80,522200,53.304
2015-01-14,53.35,53.65,52.85,53.45,713000,52.958
2015-01-13,53.00,53.55,52.10,53.00,830000,52.512
2015-01-12,53.35,53.50,52.45,53.25,619200,52.759
2015-01-09,52.50,54.50,52.50,52.80,1139200,52.314
2015-01-08,51.95,53.55,51.70,53.35,1031200,52.859
2015-01-07,51.70,52.25,50.40,52.05,2687400,51.571
2015-01-06,51.20,51.90,50.70,51.80,2221100,51.323
2015-01-05,52.60,52.60,50.55,50.85,3561300,50.382
2015-01-02,52.80,52.80,52.20,52.45,1180100,51.967
2015-01-01,52.60,52.60,52.60,52.60,000,52.115
