Date,Open,High,Low,Close,Volume,Adj Close
2015-03-31,19.70,20.25,19.70,19.80,23484300,19.082
2015-03-30,19.22,19.96,18.90,19.74,30251400,19.024
2015-03-27,18.62,18.90,18.62,18.82,17994600,18.137
2015-03-26,18.78,19.10,18.62,18.94,16180000,18.253
2015-03-25,19.00,19.24,18.92,18.98,18915600,18.292
2015-03-24,19.70,19.70,19.04,19.28,17476100,18.581
2015-03-23,20.15,20.15,19.42,19.70,18296400,18.985
2015-03-20,19.82,20.20,19.82,20.05,14470100,19.323
2015-03-19,19.36,20.15,19.36,20.15,17115600,19.419
2015-03-18,19.40,19.80,19.34,19.56,13621700,18.85
2015-03-17,19.40,19.58,19.28,19.52,9603700,18.812
2015-03-16,19.18,19.38,19.10,19.22,11596600,18.523
2015-03-13,18.76,19.60,18.76,19.40,16319900,18.696
2015-03-12,18.94,19.06,18.76,18.84,10694600,18.157
2015-03-11,19.18,19.42,18.72,18.76,21116600,18.079
2015-03-10,19.28,19.56,19.10,19.50,13958100,18.793
2015-03-09,18.92,19.34,18.90,19.18,15468200,18.484
2015-03-06,19.32,19.48,19.16,19.18,16538300,18.484
2015-03-05,19.76,19.88,19.12,19.18,23408200,18.484
2015-03-04,20.20,20.20,19.62,19.76,18591100,19.043
2015-03-03,20.55,20.65,20.00,20.20,12467400,19.467
2015-03-02,20.60,20.65,20.10,20.65,17055900,19.901
2015-02-27,20.35,20.65,20.05,20.30,18557100,19.564
2015-02-26,19.98,20.65,19.92,20.55,16338700,19.805
2015-02-25,19.74,20.05,19.70,20.00,16404100,19.275
2015-02-24,19.86,20.10,19.80,19.86,13141500,19.14
2015-02-23,20.10,20.10,19.74,19.86,23793000,19.14
2015-02-20,20.20,20.20,20.20,20.20,000,19.467
2015-02-19,20.20,20.20,20.20,20.20,000,19.467
2015-02-18,20.25,20.55,20.15,20.20,12980900,19.467
2015-02-17,20.55,20.70,20.10,20.35,21971800,19.612
2015-02-16,20.80,21.05,20.65,20.90,5036100,20.142
2015-02-13,20.75,21.05,20.60,21.00,8740400,20.238
2015-02-12,20.30,20.70,20.25,20.55,14863600,19.805
2015-02-11,20.45,20.85,20.30,20.40,15928100,19.66
2015-02-10,20.75,20.85,20.55,20.70,13350000,19.949
2015-02-09,20.25,20.80,20.10,20.75,15916100,19.997
2015-02-06,20.90,20.95,20.15,20.55,20375300,19.805
2015-02-05,21.45,21.70,20.70,20.90,20334900,20.142
2015-02-04,21.25,21.80,21.15,21.40,15912400,20.624
2015-02-03,21.05,21.30,20.75,21.20,15146700,20.431
2015-02-02,21.00,21.35,20.80,21.15,9780600,20.383
2015-01-30,21.50,21.50,21.10,21.25,13833400,20.479
2015-01-29,21.25,21.55,20.80,21.15,16511000,20.383
2015-01-28,21.35,21.70,21.25,21.45,16773500,20.672
2015-01-27,21.30,21.55,21.10,21.20,12724900,20.431
2015-01-26,21.75,21.75,21.20,21.40,13776000,20.624
2015-01-23,21.80,22.10,21.50,21.60,17062700,20.816
2015-01-22,21.70,21.90,21.45,21.60,18354700,20.816
2015-01-21,21.95,21.95,21.60,21.75,12073200,20.961
2015-01-20,21.80,21.85,21.30,21.60,10665800,20.816
2015-01-19,21.50,21.85,20.90,21.40,19829700,20.624
2015-01-16,22.05,22.40,21.65,21.90,18622000,21.106
2015-01-15,22.50,22.55,21.90,22.35,17652400,21.539
2015-01-14,23.30,23.30,22.30,22.40,11765100,21.587
2015-01-13,22.35,23.15,22.35,22.75,14366300,21.925
2015-01-12,22.50,22.60,22.20,22.50,12775900,21.684
2015-01-09,23.25,23.40,22.70,22.85,22267600,22.021
2015-01-08,23.40,23.75,23.20,23.25,12571900,22.407
2015-01-07,23.65,23.70,23.05,23.50,17249200,22.648
2015-01-06,23.10,24.00,23.05,23.40,24440300,22.551
2015-01-05,23.50,24.40,22.75,23.45,33955800,22.599
2015-01-02,23.20,23.45,22.95,23.15,9329900,22.31
2015-01-01,22.95,22.95,22.95,22.95,000,22.118
