Date,Open,High,Low,Close,Volume,Adj Close
2015-03-31,11.90,12.60,10.88,10.92,186720200,10.76
2015-03-30,10.24,11.86,10.22,11.42,101924300,11.253
2015-03-27,9.75,10.20,9.75,9.97,56090600,9.824
2015-03-26,9.77,9.91,9.70,9.80,25000500,9.657
2015-03-25,9.94,9.99,9.77,9.83,22838400,9.686
2015-03-24,10.00,10.00,9.75,9.91,31748000,9.765
2015-03-23,9.89,10.18,9.82,9.97,63403600,9.824
2015-03-20,9.94,9.94,9.59,9.63,40850900,9.489
2015-03-19,9.60,9.92,9.51,9.89,77995800,9.745
2015-03-18,9.55,9.63,9.43,9.49,36982200,9.351
2015-03-17,9.30,9.57,9.28,9.45,62685300,9.312
2015-03-16,8.95,9.28,8.91,9.27,30885200,9.134
2015-03-13,8.96,9.14,8.91,9.06,24708600,8.927
2015-03-12,9.00,9.05,8.90,8.97,20051800,8.839
2015-03-11,8.90,9.09,8.87,8.88,17199200,8.75
2015-03-10,9.10,9.15,8.91,8.96,20616100,8.829
2015-03-09,8.83,9.18,8.75,9.14,24610200,9.006
2015-03-06,9.10,9.13,8.87,8.98,25256700,8.849
2015-03-05,8.97,9.13,8.74,9.08,39192700,8.947
2015-03-04,9.09,9.26,8.95,8.98,36593900,8.849
2015-03-03,9.19,9.26,9.08,9.13,46384700,8.996
2015-03-02,9.70,9.70,9.21,9.26,50721200,9.125
2015-02-27,9.59,9.60,9.45,9.48,38531600,9.341
2015-02-26,9.19,9.62,9.13,9.54,70647500,9.40
2015-02-25,9.20,9.23,9.06,9.11,29617400,8.977
2015-02-24,9.00,9.28,8.94,9.20,34014700,9.065
2015-02-23,8.98,9.06,8.80,9.00,22719500,8.868
2015-02-20,8.94,8.94,8.94,8.94,000,8.809
2015-02-19,8.94,8.94,8.94,8.94,000,8.809
2015-02-18,8.90,9.05,8.83,8.94,23059700,8.809
2015-02-17,8.50,8.99,8.47,8.83,47216800,8.701
2015-02-16,8.55,8.58,8.35,8.45,18370400,8.326
2015-02-13,8.66,8.66,8.43,8.52,26779000,8.395
2015-02-12,8.27,8.62,8.25,8.56,52229100,8.435
2015-02-11,8.15,8.27,8.10,8.23,31306300,8.11
2015-02-10,8.00,8.14,7.90,8.09,36954300,7.972
2015-02-09,8.00,8.00,7.81,7.90,16986000,7.784
2015-02-06,7.95,8.10,7.92,8.01,27806500,7.893
2015-02-05,8.39,8.48,7.86,8.00,47467500,7.883
2015-02-04,8.11,8.34,8.00,8.25,48335100,8.129
2015-02-03,8.00,8.17,7.73,8.04,64903100,7.922
2015-02-02,8.10,8.15,7.87,8.05,64272300,7.932
2015-01-30,8.58,8.65,8.34,8.45,45187200,8.326
2015-01-29,8.70,8.75,8.45,8.51,67385400,8.386
2015-01-28,8.98,8.98,8.82,8.83,21981500,8.701
2015-01-27,9.10,9.15,8.90,8.94,43002200,8.809
2015-01-26,9.15,9.15,8.86,9.09,39897500,8.957
2015-01-23,9.30,9.31,9.01,9.15,46718500,9.016
2015-01-22,9.30,9.42,9.04,9.09,44448300,8.957
2015-01-21,9.13,9.34,9.12,9.31,52828700,9.174
2015-01-20,8.95,9.20,8.83,9.08,69330700,8.947
2015-01-19,9.50,9.50,8.61,8.82,89087600,8.691
2015-01-16,9.63,9.77,9.53,9.56,40077900,9.42
2015-01-15,9.80,9.81,9.52,9.73,49390100,9.588
2015-01-14,9.94,10.10,9.70,9.78,45041600,9.637
2015-01-13,9.85,9.99,9.76,9.92,38704700,9.775
2015-01-12,9.67,9.93,9.64,9.77,38120000,9.627
2015-01-09,9.97,10.24,9.62,9.66,86086000,9.519
2015-01-08,9.80,9.90,9.52,9.82,42125800,9.676
2015-01-07,9.42,9.91,9.42,9.66,47662100,9.519
2015-01-06,9.71,9.93,9.41,9.49,57910200,9.351
2015-01-05,9.80,10.06,9.70,9.83,46859400,9.686
2015-01-02,9.39,10.10,9.33,10.00,73275000,9.854
2015-01-01,9.33,9.33,9.33,9.33,000,9.194
