Date,Open,High,Low,Close,Volume,Adj Close
2015-03-31,29.80,30.35,29.10,29.35,17024500,28.61083
2015-03-30,28.75,29.80,28.70,29.20,23187700,28.4646
2015-03-27,28.10,28.60,28.00,28.55,13266500,27.83097
2015-03-26,27.65,28.00,27.30,27.80,5484000,27.09986
2015-03-25,27.65,28.05,27.40,27.75,7902900,27.05112
2015-03-24,27.50,28.05,27.50,27.65,9847600,26.95364
2015-03-23,28.10,28.40,27.70,28.10,14623800,27.39231
2015-03-20,28.00,28.35,27.60,27.70,8099000,27.00238
2015-03-19,27.90,28.05,27.60,27.90,11703000,27.19734
2015-03-18,26.70,27.80,26.70,27.60,14978400,26.9049
2015-03-17,26.90,27.05,26.70,26.80,6064000,26.12505
2015-03-16,26.45,26.90,26.15,26.65,8112000,25.97882
2015-03-13,26.05,26.45,26.05,26.35,5208000,25.68638
2015-03-12,25.50,26.40,25.50,26.20,9997400,25.54016
2015-03-11,25.80,26.00,25.55,25.70,5751600,25.05275
2015-03-10,25.65,26.05,25.65,25.85,5717300,25.19897
2015-03-09,25.75,26.05,25.40,25.85,3910500,25.19897
2015-03-06,25.60,25.95,25.60,25.75,6019700,25.10149
2015-03-05,26.00,26.20,25.25,25.40,13076500,24.76031
2015-03-04,26.50,26.50,26.05,26.10,5762500,25.44268
2015-03-03,26.70,26.90,26.10,26.25,5620200,25.5889
2015-03-02,26.75,27.00,26.55,26.70,9507900,26.02757
2015-02-27,26.90,26.90,26.25,26.35,7233400,25.68638
2015-02-26,26.20,26.90,26.15,26.55,12627800,25.88134
2015-02-25,26.00,26.65,26.00,26.45,7490100,25.78386
2015-02-24,26.00,26.35,26.00,26.20,3159600,25.54016
2015-02-23,26.45,26.45,25.80,26.15,4956800,25.49142
2015-02-20,26.25,26.25,26.25,26.25,000,25.5889
2015-02-19,26.25,26.25,26.25,26.25,000,25.5889
2015-02-18,26.35,26.50,26.20,26.25,3532500,25.5889
2015-02-17,26.50,26.65,26.35,26.45,3663500,25.78386
2015-02-16,26.50,26.80,26.40,26.50,5285000,25.8326
2015-02-13,26.50,26.50,26.25,26.45,3716000,25.78386
2015-02-12,25.90,26.40,25.90,26.25,3637200,25.5889
2015-02-11,26.05,26.40,25.90,26.00,3986500,25.34519
2015-02-10,25.90,26.15,25.65,25.95,4091000,25.29645
2015-02-09,25.50,26.00,25.50,25.90,3732300,25.24771
2015-02-06,25.90,26.25,25.55,25.85,11732400,25.19897
2015-02-05,26.40,26.70,25.90,26.10,7996600,25.44268
2015-02-04,26.50,26.90,25.90,26.00,12278500,25.34519
2015-02-03,25.80,26.40,25.50,26.40,9614500,25.73512
2015-02-02,25.90,26.00,25.50,25.65,7089900,25.00401
2015-01-30,26.40,26.60,26.00,26.15,5385200,25.49142
2015-01-29,26.65,26.70,26.20,26.40,8726300,25.73512
2015-01-28,26.85,27.20,26.75,26.85,4177200,26.17379
2015-01-27,27.45,27.45,26.65,26.75,10197800,26.07631
2015-01-26,27.90,27.90,27.00,27.30,9024300,26.61245
2015-01-23,27.85,28.05,27.30,27.60,7447700,26.9049
2015-01-22,27.90,28.25,27.40,27.45,8682500,26.75868
2015-01-21,27.80,27.90,27.35,27.65,6637100,26.95364
2015-01-20,27.70,27.90,27.30,27.55,11098600,26.85616
2015-01-19,28.30,28.75,26.75,27.50,18685100,26.80742
2015-01-16,28.90,29.15,28.60,28.75,5077200,28.02594
2015-01-15,29.15,29.25,28.55,29.20,7613400,28.4646
2015-01-14,29.55,29.75,28.90,29.20,5637100,28.4646
2015-01-13,29.25,29.70,29.00,29.30,6095100,28.56208
2015-01-12,29.50,29.50,28.80,29.30,8253500,28.56208
2015-01-09,29.00,30.10,28.90,29.35,18266200,28.61083
2015-01-08,29.45,29.45,28.70,28.90,14790500,28.17216
2015-01-07,28.65,28.95,28.30,28.45,9698500,27.73349
2015-01-06,28.55,29.45,28.45,28.70,23302100,27.9772
2015-01-05,29.00,29.85,28.70,29.10,17886300,28.36712
2015-01-02,28.90,29.50,28.70,29.30,10137600,28.56208
2015-01-01,29.05,29.05,29.05,29.05,000,28.31838
