Date,Open,High,Low,Close,Volume,Adj Close
2015-03-31,8.58,9.09,8.57,9.03,29612300,8.542
2015-03-30,8.81,8.98,8.73,8.74,16468700,8.268
2015-03-27,8.82,8.88,8.69,8.76,13878600,8.287
2015-03-26,8.65,8.79,8.60,8.64,12619000,8.173
2015-03-25,8.96,8.96,8.70,8.71,10096300,8.24
2015-03-24,8.95,8.95,8.74,8.84,16042800,8.363
2015-03-23,8.78,8.90,8.74,8.82,31912900,8.344
2015-03-20,8.84,8.89,8.66,8.78,91510800,8.306
2015-03-19,8.60,8.92,8.60,8.81,12703600,8.334
2015-03-18,8.68,8.88,8.66,8.74,13969800,8.268
2015-03-17,9.05,9.05,8.71,8.72,12136800,8.249
2015-03-16,8.73,9.20,8.73,8.79,37663900,8.315
2015-03-13,8.32,8.61,8.32,8.52,17042200,8.06
2015-03-12,8.56,8.60,8.40,8.42,14338500,7.965
2015-03-11,8.60,8.71,8.53,8.55,23062700,8.088
2015-03-10,8.50,8.69,8.44,8.61,27027500,8.145
2015-03-09,8.08,8.30,8.08,8.23,9389900,7.786
2015-03-06,8.16,8.20,8.07,8.13,10849000,7.691
2015-03-05,8.11,8.21,8.06,8.12,16241100,7.681
2015-03-04,8.23,8.29,8.13,8.19,11426000,7.748
2015-03-03,8.19,8.28,8.12,8.24,25436800,7.795
2015-03-02,8.45,8.47,8.21,8.30,11045600,7.852
2015-02-27,8.33,8.46,8.31,8.39,14031300,7.937
2015-02-26,8.58,8.58,8.37,8.39,11138900,7.937
2015-02-25,8.55,8.56,8.42,8.46,12327400,8.003
2015-02-24,8.53,8.63,8.36,8.50,14344600,8.041
2015-02-23,8.70,8.74,8.55,8.64,13226700,8.173
2015-02-20,8.59,8.59,8.59,8.59,000,8.126
2015-02-19,8.59,8.59,8.59,8.59,000,8.126
2015-02-18,8.68,8.74,8.54,8.59,9694300,8.126
2015-02-17,8.55,8.75,8.55,8.67,7407000,8.202
2015-02-16,8.71,8.76,8.56,8.65,5243000,8.183
2015-02-13,8.50,8.74,8.37,8.67,22626200,8.202
2015-02-12,8.47,8.55,8.40,8.42,11480100,7.965
2015-02-11,8.70,8.70,8.42,8.47,15696900,8.013
2015-02-10,8.53,8.69,8.53,8.65,9086400,8.183
2015-02-09,8.50,8.71,8.47,8.53,11974400,8.069
2015-02-06,8.66,8.78,8.57,8.65,18456400,8.183
2015-02-05,8.89,9.07,8.69,8.82,12175700,8.344
2015-02-04,8.78,8.85,8.58,8.82,13984300,8.344
2015-02-03,8.60,8.73,8.53,8.66,9706100,8.192
2015-02-02,8.82,8.88,8.53,8.73,13984200,8.259
2015-01-30,8.87,8.95,8.68,8.79,8538400,8.315
2015-01-29,8.98,8.98,8.80,8.84,8101900,8.363
2015-01-28,8.85,8.96,8.79,8.94,13836800,8.457
2015-01-27,8.91,9.00,8.71,8.83,15347000,8.353
2015-01-26,9.15,9.15,8.90,9.00,13733800,8.514
2015-01-23,9.20,9.30,9.11,9.16,18142300,8.665
2015-01-22,9.12,9.20,9.06,9.15,20355700,8.656
2015-01-21,9.10,9.20,9.05,9.14,25382400,8.646
2015-01-20,9.01,9.24,9.00,9.10,14759100,8.609
2015-01-19,9.10,9.38,9.08,9.14,22333800,8.646
2015-01-16,9.29,9.29,9.05,9.10,13963900,8.609
2015-01-15,9.29,9.37,9.14,9.15,15762500,8.656
2015-01-14,9.10,9.24,9.10,9.14,18115100,8.646
2015-01-13,9.00,9.20,8.88,9.09,23523200,8.599
2015-01-12,8.65,9.05,8.65,8.89,10266800,8.41
2015-01-09,8.68,9.09,8.68,8.95,12761200,8.467
2015-01-08,8.72,8.87,8.62,8.82,12654500,8.344
2015-01-07,8.68,8.96,8.58,8.88,16605400,8.40
2015-01-06,8.65,8.84,8.57,8.70,11989600,8.23
2015-01-05,8.69,9.03,8.65,8.80,12022900,8.325
2015-01-02,9.06,9.11,8.80,8.94,12224000,8.457
2015-01-01,8.72,8.72,8.72,8.72,000,8.249
