Date,Open,High,Low,Close,Volume,Adj Close
2015-03-31,21.30,21.90,21.25,21.80,9659000,21.106
2015-03-30,21.50,21.55,21.25,21.45,5107200,20.768
2015-03-27,21.35,21.45,21.15,21.40,2964900,20.719
2015-03-26,21.50,21.50,21.10,21.20,5439600,20.526
2015-03-25,21.40,21.40,21.20,21.25,8562800,20.574
2015-03-24,21.50,21.60,21.25,21.35,6170400,20.671
2015-03-23,21.30,21.50,21.25,21.40,13207800,20.719
2015-03-20,21.15,21.60,21.10,21.15,8266800,20.477
2015-03-19,21.70,21.75,21.25,21.40,7041900,20.719
2015-03-18,21.60,21.70,21.45,21.60,10011900,20.913
2015-03-17,21.55,21.70,21.50,21.55,9533800,20.864
2015-03-16,21.50,21.80,21.50,21.70,5148200,21.01
2015-03-13,21.70,21.85,21.60,21.75,4422900,21.058
2015-03-12,21.90,21.95,21.70,21.80,4857600,21.106
2015-03-11,21.70,22.00,21.70,21.95,4601000,21.252
2015-03-10,21.85,21.95,21.70,21.85,5785300,21.155
2015-03-09,21.80,21.95,21.70,21.85,4244300,21.155
2015-03-06,21.90,22.10,21.85,21.95,6318500,21.252
2015-03-05,22.20,22.40,21.95,22.00,5054600,21.30
2015-03-04,22.50,22.60,22.30,22.45,7506500,21.736
2015-03-03,22.40,22.50,22.15,22.40,5746300,21.687
2015-03-02,22.05,22.10,21.80,22.00,4364600,21.30
2015-02-27,22.00,22.25,21.90,22.00,6740000,21.30
2015-02-26,22.10,22.35,22.00,22.00,3868800,21.30
2015-02-25,22.20,22.35,22.00,22.10,3768700,21.397
2015-02-24,22.40,22.40,21.95,22.05,4461000,21.349
2015-02-23,22.20,22.30,21.90,22.15,3760000,21.445
2015-02-20,22.25,22.25,22.25,22.25,000,21.542
2015-02-19,22.25,22.25,22.25,22.25,000,21.542
2015-02-18,22.40,22.40,22.10,22.25,3817300,21.542
2015-02-17,22.45,22.45,22.15,22.15,2924200,21.445
2015-02-16,22.40,22.65,22.10,22.45,2885500,21.736
2015-02-13,21.85,22.50,21.85,22.50,4682300,21.784
2015-02-12,21.85,22.05,21.70,21.85,3985700,21.155
2015-02-11,22.20,22.30,21.75,22.00,2949800,21.30
2015-02-10,22.00,22.35,21.90,22.30,7417800,21.591
2015-02-09,22.20,22.50,21.90,22.00,5546600,21.30
2015-02-06,22.50,22.70,22.35,22.45,3150600,21.736
2015-02-05,22.55,22.75,22.15,22.35,3584800,21.639
2015-02-04,22.55,22.80,22.35,22.60,4966700,21.881
2015-02-03,22.75,22.85,22.40,22.50,4601300,21.784
2015-02-02,22.85,22.90,22.60,22.85,4421500,22.123
2015-01-30,22.90,23.15,22.75,22.85,7200500,22.123
2015-01-29,22.55,22.90,22.55,22.75,5452000,22.026
2015-01-28,21.95,22.70,21.90,22.70,7893800,21.978
2015-01-27,22.25,22.25,21.75,21.95,10173100,21.252
2015-01-26,21.85,22.35,21.80,22.15,8602700,21.445
2015-01-23,21.55,21.95,21.55,21.90,6258100,21.203
2015-01-22,21.50,21.80,21.50,21.70,3662900,21.01
2015-01-21,21.20,21.50,21.15,21.45,3255400,20.768
2015-01-20,21.15,21.35,21.10,21.15,4429100,20.477
2015-01-19,21.15,21.45,21.05,21.20,4244200,20.526
2015-01-16,21.35,21.40,21.15,21.25,3391000,20.574
2015-01-15,21.20,21.50,21.10,21.20,5853900,20.526
2015-01-14,21.40,21.60,21.20,21.25,2050500,20.574
2015-01-13,21.30,21.55,21.20,21.40,3789500,20.719
2015-01-12,21.10,21.45,21.05,21.20,8493700,20.526
2015-01-09,21.25,21.45,21.05,21.10,3568400,20.429
2015-01-08,21.25,21.60,21.20,21.30,2882900,20.622
2015-01-07,21.05,21.40,21.00,21.20,3390600,20.526
2015-01-06,21.75,21.75,21.05,21.25,4369100,20.574
2015-01-05,21.40,21.85,21.30,21.55,6524900,20.864
2015-01-02,21.80,21.95,21.45,21.90,2573800,21.203
2015-01-01,21.75,21.75,21.75,21.75,000,21.058
