Date,Open,High,Low,Close,Volume,Adj Close
2015-03-31,5.75,5.75,5.70,5.72,428016700,5.43916
2015-03-30,5.61,5.71,5.59,5.65,442853100,5.3726
2015-03-27,5.60,5.60,5.49,5.50,382646900,5.22996
2015-03-26,5.56,5.60,5.52,5.57,144766600,5.29653
2015-03-25,5.62,5.62,5.56,5.57,260747400,5.29653
2015-03-24,5.65,5.68,5.56,5.58,323589200,5.30604
2015-03-23,5.71,5.72,5.66,5.69,185877800,5.41064
2015-03-20,5.65,5.71,5.65,5.69,216465600,5.41064
2015-03-19,5.66,5.71,5.66,5.70,304522700,5.42015
2015-03-18,5.56,5.68,5.56,5.65,313549100,5.3726
2015-03-17,5.60,5.63,5.56,5.59,195846900,5.31555
2015-03-16,5.55,5.60,5.54,5.58,188390600,5.30604
2015-03-13,5.49,5.59,5.49,5.55,240674600,5.27751
2015-03-12,5.36,5.55,5.36,5.48,298903100,5.21095
2015-03-11,5.47,5.49,5.37,5.38,253226700,5.11586
2015-03-10,5.46,5.48,5.40,5.43,258563900,5.1634
2015-03-09,5.38,5.52,5.37,5.48,257092700,5.21095
2015-03-06,5.41,5.46,5.40,5.44,287778200,5.17291
2015-03-05,5.49,5.49,5.42,5.43,330587700,5.1634
2015-03-04,5.58,5.59,5.50,5.51,225382500,5.23947
2015-03-03,5.71,5.71,5.56,5.58,232331900,5.30604
2015-03-02,5.71,5.74,5.67,5.68,280678900,5.40113
2015-02-27,5.69,5.75,5.66,5.66,284774100,5.38211
2015-02-26,5.62,5.75,5.62,5.71,322027900,5.42965
2015-02-25,5.75,5.75,5.63,5.66,285857500,5.38211
2015-02-24,5.71,5.72,5.67,5.70,142847000,5.42015
2015-02-23,5.71,5.72,5.61,5.70,113997500,5.42015
2015-02-20,5.68,5.68,5.68,5.68,000,5.40113
2015-02-19,5.68,5.68,5.68,5.68,000,5.40113
2015-02-18,5.70,5.70,5.66,5.68,43553300,5.40113
2015-02-17,5.63,5.70,5.63,5.68,126763100,5.40113
2015-02-16,5.69,5.69,5.64,5.66,102911400,5.38211
2015-02-13,5.61,5.67,5.60,5.65,197146400,5.3726
2015-02-12,5.56,5.60,5.49,5.58,206447400,5.30604
2015-02-11,5.53,5.59,5.48,5.51,240004500,5.23947
2015-02-10,5.50,5.59,5.49,5.56,165378900,5.28702
2015-02-09,5.53,5.57,5.50,5.54,289346800,5.268
2015-02-06,5.64,5.67,5.53,5.61,257901200,5.33456
2015-02-05,5.74,5.75,5.63,5.67,431823400,5.39162
2015-02-04,5.59,5.63,5.55,5.57,237529600,5.29653
2015-02-03,5.50,5.59,5.46,5.58,165048600,5.30604
2015-02-02,5.51,5.53,5.44,5.50,295443900,5.22996
2015-01-30,5.61,5.65,5.55,5.58,207769500,5.30604
2015-01-29,5.61,5.65,5.55,5.60,290652300,5.32506
2015-01-28,5.74,5.80,5.70,5.72,169511700,5.43916
2015-01-27,5.85,5.85,5.71,5.73,269790300,5.44867
2015-01-26,5.84,5.84,5.76,5.83,169470400,5.54376
2015-01-23,5.80,5.86,5.80,5.84,322381400,5.55327
2015-01-22,5.75,5.78,5.73,5.75,155103100,5.46769
2015-01-21,5.63,5.75,5.60,5.72,295898800,5.43916
2015-01-20,5.49,5.59,5.46,5.58,245814900,5.30604
2015-01-19,5.58,5.61,5.38,5.45,455843900,5.18242
2015-01-16,5.69,5.73,5.66,5.68,210096300,5.40113
2015-01-15,5.73,5.77,5.63,5.74,204880300,5.45818
2015-01-14,5.74,5.78,5.65,5.68,153461900,5.40113
2015-01-13,5.62,5.75,5.62,5.71,136003300,5.42965
2015-01-12,5.73,5.73,5.62,5.68,142031300,5.40113
2015-01-09,5.75,5.84,5.71,5.73,264517200,5.44867
2015-01-08,5.84,5.85,5.70,5.72,236272900,5.43916
2015-01-07,5.68,5.80,5.66,5.75,326962600,5.46769
2015-01-06,5.70,5.83,5.67,5.71,501370700,5.42965
2015-01-05,5.73,5.90,5.71,5.80,534408600,5.51524
2015-01-02,5.68,5.78,5.67,5.77,316618700,5.48671
2015-01-01,5.66,5.66,5.66,5.66,000,5.38211
