Date,Open,High,Low,Close,Volume,Adj Close
2015-03-31,3.90,3.98,3.80,3.84,143231400,3.73
2015-03-30,3.74,3.83,3.74,3.77,110715400,3.66
2015-03-27,3.69,3.72,3.65,3.69,35663100,3.58
2015-03-26,3.63,3.68,3.61,3.66,56065400,3.55
2015-03-25,3.67,3.68,3.64,3.66,22380300,3.55
2015-03-24,3.69,3.69,3.64,3.65,30401400,3.54
2015-03-23,3.73,3.73,3.66,3.68,38616400,3.57
2015-03-20,3.72,3.72,3.68,3.69,25758000,3.58
2015-03-19,3.70,3.73,3.69,3.70,31526200,3.59
2015-03-18,3.65,3.70,3.62,3.66,36440200,3.55
2015-03-17,3.70,3.71,3.60,3.63,78909400,3.53
2015-03-16,3.72,3.74,3.67,3.69,21011500,3.58
2015-03-13,3.70,3.74,3.68,3.70,20664700,3.59
2015-03-12,3.69,3.72,3.65,3.69,30754200,3.58
2015-03-11,3.68,3.72,3.64,3.65,43337100,3.54
2015-03-10,3.76,3.76,3.68,3.70,25529100,3.59
2015-03-09,3.77,3.79,3.71,3.76,38126500,3.65
2015-03-06,3.76,3.82,3.73,3.81,55707300,3.70
2015-03-05,3.72,3.76,3.70,3.73,27216500,3.62
2015-03-04,3.79,3.79,3.72,3.75,39038200,3.64
2015-03-03,3.80,3.86,3.75,3.76,38288800,3.65
2015-03-02,3.91,3.93,3.78,3.79,70767800,3.68
2015-02-27,3.84,3.87,3.81,3.82,55123800,3.71
2015-02-26,3.76,3.82,3.71,3.81,46846900,3.70
2015-02-25,3.74,3.78,3.71,3.76,29085600,3.65
2015-02-24,3.71,3.74,3.68,3.72,27048800,3.61
2015-02-23,3.71,3.73,3.66,3.71,18683700,3.60
2015-02-20,3.69,3.69,3.69,3.69,000,3.58
2015-02-19,3.69,3.69,3.69,3.69,000,3.58
2015-02-18,3.70,3.71,3.68,3.69,9720000,3.58
2015-02-17,3.65,3.74,3.65,3.68,47193000,3.57
2015-02-16,3.63,3.66,3.61,3.63,17781000,3.53
2015-02-13,3.65,3.66,3.61,3.62,31887000,3.52
2015-02-12,3.61,3.66,3.60,3.65,16516000,3.54
2015-02-11,3.63,3.65,3.57,3.61,46218300,3.51
2015-02-10,3.64,3.67,3.62,3.64,28395600,3.53
2015-02-09,3.62,3.67,3.57,3.64,34256000,3.53
2015-02-06,3.68,3.71,3.62,3.64,27669100,3.53
2015-02-05,3.77,3.83,3.64,3.68,36566000,3.57
2015-02-04,3.66,3.76,3.66,3.69,33255100,3.58
2015-02-03,3.69,3.69,3.60,3.65,39740000,3.54
2015-02-02,3.65,3.69,3.60,3.66,34184100,3.55
2015-01-30,3.76,3.77,3.65,3.68,52309800,3.57
2015-01-29,3.78,3.80,3.70,3.74,38038000,3.63
2015-01-28,3.80,3.84,3.79,3.82,38241600,3.71
2015-01-27,3.83,3.85,3.77,3.84,41040400,3.73
2015-01-26,3.81,3.84,3.78,3.83,30688500,3.72
2015-01-23,3.87,3.87,3.80,3.84,59145200,3.73
2015-01-22,3.76,3.85,3.76,3.80,57116000,3.69
2015-01-21,3.69,3.79,3.67,3.75,77646100,3.64
2015-01-20,3.65,3.76,3.65,3.69,56059100,3.58
2015-01-19,3.72,3.75,3.54,3.63,138678200,3.53
2015-01-16,3.80,3.82,3.73,3.77,57966800,3.66
2015-01-15,3.82,3.87,3.80,3.83,40891800,3.72
2015-01-14,3.87,3.90,3.81,3.84,51254000,3.73
2015-01-13,3.80,3.88,3.79,3.85,55721800,3.74
2015-01-12,3.85,3.85,3.79,3.82,83949000,3.71
2015-01-09,3.93,3.94,3.86,3.87,103779000,3.76
2015-01-08,4.00,4.03,3.90,3.91,59113900,3.80
2015-01-07,4.02,4.05,3.95,3.98,36906500,3.86
2015-01-06,4.05,4.13,4.00,4.03,89295000,3.91
2015-01-05,4.00,4.22,3.95,4.13,176275200,4.01
2015-01-02,3.79,4.03,3.78,3.99,91338200,3.87
2015-01-01,3.78,3.78,3.78,3.78,000,3.67
