Date,Open,High,Low,Close,Volume,Adj Close
2015-03-31,8.45,8.58,8.36,8.43,14989100,8.375
2015-03-30,8.35,8.55,8.17,8.30,18581800,8.246
2015-03-27,8.35,8.35,8.05,8.12,12527800,8.067
2015-03-26,8.35,8.35,8.18,8.21,7811200,8.157
2015-03-25,8.28,8.35,8.18,8.26,15057700,8.206
2015-03-24,8.18,8.18,8.05,8.09,11527500,8.037
2015-03-23,8.29,8.29,8.06,8.14,17175600,8.087
2015-03-20,8.33,8.33,8.06,8.20,65513100,8.147
2015-03-19,8.29,8.34,8.13,8.23,18864900,8.177
2015-03-18,7.98,8.20,7.93,8.16,14918200,8.107
2015-03-17,7.97,7.98,7.83,7.89,9436600,7.839
2015-03-16,7.91,7.98,7.80,7.83,12723500,7.779
2015-03-13,8.04,8.04,7.81,7.87,14189100,7.819
2015-03-12,8.10,8.10,7.87,7.98,8837200,7.928
2015-03-11,8.05,8.10,7.85,7.88,14112600,7.829
2015-03-10,8.10,8.15,8.04,8.05,9694400,7.998
2015-03-09,8.27,8.30,8.15,8.19,7284100,8.137
2015-03-06,8.30,8.34,8.16,8.19,8798600,8.137
2015-03-05,8.20,8.34,8.12,8.20,24256700,8.147
2015-03-04,8.67,8.67,8.24,8.29,17515900,8.236
2015-03-03,8.70,8.75,8.48,8.50,22902600,8.445
2015-03-02,8.69,8.72,8.48,8.63,18704800,8.574
2015-02-27,8.40,8.40,8.23,8.32,12447900,8.266
2015-02-26,8.40,8.40,8.22,8.39,14877800,8.335
2015-02-25,8.20,8.41,8.12,8.38,14034900,8.326
2015-02-24,8.10,8.19,8.05,8.10,15347000,8.047
2015-02-23,8.30,8.30,8.12,8.15,10388500,8.097
2015-02-20,8.26,8.26,8.26,8.26,000,8.206
2015-02-19,8.26,8.26,8.26,8.26,000,8.206
2015-02-18,8.30,8.33,8.15,8.26,4318400,8.206
2015-02-17,8.26,8.32,8.16,8.24,6636000,8.186
2015-02-16,8.25,8.27,8.13,8.26,11576300,8.206
2015-02-13,8.25,8.27,8.07,8.10,5242100,8.047
2015-02-12,8.13,8.27,8.13,8.18,7502000,8.127
2015-02-11,8.19,8.26,8.17,8.18,5417600,8.127
2015-02-10,7.95,8.26,7.95,8.20,7747000,8.147
2015-02-09,8.05,8.21,7.99,8.01,11143700,7.958
2015-02-06,8.01,8.14,8.01,8.09,11211100,8.037
2015-02-05,8.21,8.29,8.00,8.12,14786000,8.067
2015-02-04,8.34,8.44,8.26,8.34,7930800,8.286
2015-02-03,8.40,8.40,8.28,8.32,11612100,8.266
2015-02-02,8.50,8.50,8.27,8.31,11192100,8.256
2015-01-30,8.40,8.47,8.31,8.38,13253500,8.326
2015-01-29,8.51,8.56,8.32,8.39,13550000,8.335
2015-01-28,8.58,8.69,8.53,8.61,10288700,8.554
2015-01-27,8.85,8.85,8.60,8.67,11664000,8.614
2015-01-26,8.85,8.85,8.58,8.70,10123900,8.643
2015-01-23,8.85,8.88,8.73,8.77,19669100,8.713
2015-01-22,8.68,8.78,8.51,8.56,12411600,8.504
2015-01-21,8.51,8.60,8.47,8.56,16415500,8.504
2015-01-20,8.70,8.70,8.41,8.49,12276900,8.435
2015-01-19,8.32,8.58,8.27,8.38,13225800,8.326
2015-01-16,8.70,8.72,8.47,8.51,31971200,8.455
2015-01-15,8.70,8.82,8.55,8.67,19913300,8.614
2015-01-14,8.68,8.68,8.48,8.53,15664400,8.475
2015-01-13,8.41,8.57,8.37,8.47,15388800,8.415
2015-01-12,8.80,8.80,8.47,8.52,16855000,8.465
2015-01-09,8.80,9.03,8.50,8.65,25586400,8.594
2015-01-08,8.48,8.85,8.44,8.70,51741400,8.643
2015-01-07,8.20,8.21,8.04,8.15,8228400,8.097
2015-01-06,8.16,8.27,8.10,8.22,14337700,8.167
2015-01-05,8.01,8.26,7.96,8.18,10244700,8.127
2015-01-02,8.20,8.27,7.97,8.21,7631000,8.157
2015-01-01,8.07,8.07,8.07,8.07,000,8.018
