Date,Open,High,Low,Close,Volume,Adj Close
2015-03-31,7.75,8.00,7.74,7.91,39569100,7.868
2015-03-30,7.28,7.79,7.27,7.71,40122900,7.669
2015-03-27,7.00,7.00,6.80,6.94,14489200,6.903
2015-03-26,6.90,6.97,6.78,6.85,12174100,6.814
2015-03-25,6.98,6.99,6.80,6.89,7251900,6.854
2015-03-24,6.86,7.05,6.86,6.96,7451000,6.923
2015-03-23,7.05,7.05,6.82,6.93,7548300,6.893
2015-03-20,7.13,7.13,6.93,7.03,8987300,6.993
2015-03-19,7.00,7.08,6.87,7.03,11042800,6.993
2015-03-18,6.82,7.11,6.80,6.94,18764100,6.903
2015-03-17,6.74,7.09,6.71,6.95,27352400,6.913
2015-03-16,6.70,6.74,6.55,6.70,8690000,6.665
2015-03-13,6.34,6.58,6.34,6.57,12527800,6.535
2015-03-12,6.43,6.46,6.22,6.23,9142200,6.197
2015-03-11,6.19,6.47,6.19,6.32,12955300,6.287
2015-03-10,6.36,6.36,6.16,6.20,14980000,6.167
2015-03-09,6.24,6.33,6.17,6.26,6740000,6.227
2015-03-06,6.32,6.42,6.25,6.31,14084400,6.277
2015-03-05,6.52,6.58,6.17,6.25,28608000,6.217
2015-03-04,6.78,6.85,6.50,6.52,11735300,6.486
2015-03-03,6.96,7.07,6.86,6.87,10477800,6.834
2015-03-02,7.12,7.12,6.90,7.02,10559000,6.983
2015-02-27,7.00,7.08,6.82,6.88,11272300,6.844
2015-02-26,6.80,6.98,6.75,6.96,13813100,6.923
2015-02-25,6.98,6.98,6.68,6.78,10039400,6.744
2015-02-24,6.60,6.88,6.58,6.84,16638400,6.804
2015-02-23,6.62,6.72,6.46,6.52,8970200,6.486
2015-02-20,6.59,6.59,6.59,6.59,000,6.555
2015-02-19,6.59,6.59,6.59,6.59,000,6.555
2015-02-18,6.64,6.66,6.46,6.59,4601700,6.555
2015-02-17,6.31,6.64,6.31,6.63,12116300,6.595
2015-02-16,6.60,6.60,6.40,6.41,7939200,6.376
2015-02-13,6.69,6.69,6.55,6.63,7374000,6.595
2015-02-12,6.59,6.76,6.54,6.69,14963700,6.655
2015-02-11,6.80,6.80,6.50,6.53,12472900,6.496
2015-02-10,6.58,6.62,6.36,6.53,14760000,6.496
2015-02-09,6.69,6.82,6.51,6.60,5846400,6.565
2015-02-06,6.71,6.91,6.70,6.84,6963100,6.804
2015-02-05,6.99,7.10,6.90,6.99,13232000,6.953
2015-02-04,6.80,6.88,6.60,6.73,27651100,6.694
2015-02-03,7.20,7.20,6.78,6.88,19068300,6.844
2015-02-02,7.20,7.30,7.09,7.16,18172800,7.122
2015-01-30,7.17,7.49,7.12,7.44,21847900,7.401
2015-01-29,6.94,7.17,6.94,7.09,10113700,7.053
2015-01-28,6.95,7.12,6.88,7.02,11482600,6.983
2015-01-27,7.40,7.44,7.11,7.16,13362000,7.122
2015-01-26,7.21,7.44,7.21,7.42,19601200,7.381
2015-01-23,7.27,7.45,7.27,7.34,16642000,7.301
2015-01-22,7.15,7.28,7.03,7.21,17628900,7.172
2015-01-21,6.70,7.20,6.70,7.15,20929400,7.112
2015-01-20,6.37,6.69,6.37,6.66,11950100,6.625
2015-01-19,6.74,6.74,6.28,6.39,18290000,6.356
2015-01-16,6.70,7.05,6.70,6.93,11355000,6.893
2015-01-15,7.13,7.13,6.75,6.85,15953100,6.814
2015-01-14,7.10,7.14,6.96,7.13,8427000,7.092
2015-01-13,7.38,7.38,6.96,7.06,11936100,7.023
2015-01-12,7.00,7.08,6.87,7.08,17204300,7.043
2015-01-09,7.09,7.09,6.89,6.92,10980200,6.883
2015-01-08,7.00,7.04,6.80,6.97,20124000,6.933
2015-01-07,6.64,6.95,6.64,6.94,36091600,6.903
2015-01-06,6.51,6.71,6.30,6.64,31109700,6.605
2015-01-05,6.28,6.53,6.18,6.45,20769900,6.416
2015-01-02,6.30,6.34,6.20,6.27,4816600,6.237
2015-01-01,6.27,6.27,6.27,6.27,000,6.237
