Date,Open,High,Low,Close,Volume,Adj Close
2015-03-31,7.30,7.60,7.29,7.42,26138000,7.182
2015-03-30,7.21,7.29,7.11,7.22,19279300,6.989
2015-03-27,7.17,7.18,6.96,7.06,13071500,6.834
2015-03-26,7.00,7.12,6.93,7.10,13331500,6.873
2015-03-25,7.10,7.12,6.98,7.00,9184200,6.776
2015-03-24,7.14,7.15,7.03,7.07,6928200,6.844
2015-03-23,7.20,7.21,7.14,7.15,4788600,6.921
2015-03-20,7.42,7.42,7.13,7.19,8776500,6.96
2015-03-19,7.30,7.33,7.20,7.26,15005200,7.028
2015-03-18,7.05,7.28,6.94,7.17,12349900,6.94
2015-03-17,6.98,7.05,6.96,6.99,6548500,6.766
2015-03-16,6.97,6.98,6.85,6.92,5252900,6.698
2015-03-13,6.82,6.99,6.82,6.94,5332700,6.718
2015-03-12,7.00,7.02,6.87,6.90,7579600,6.679
2015-03-11,7.00,7.08,6.88,6.90,9565500,6.679
2015-03-10,7.13,7.13,7.01,7.04,8326800,6.815
2015-03-09,7.21,7.24,7.09,7.11,4622300,6.882
2015-03-06,7.05,7.27,7.05,7.21,7095700,6.979
2015-03-05,7.10,7.17,7.02,7.11,10181700,6.882
2015-03-04,7.31,7.36,7.09,7.10,6200900,6.873
2015-03-03,7.44,7.45,7.24,7.31,4364200,7.076
2015-03-02,7.59,7.60,7.45,7.47,5514300,7.231
2015-02-27,7.60,7.60,7.40,7.44,3660200,7.202
2015-02-26,7.51,7.57,7.41,7.53,5701300,7.289
2015-02-25,7.57,7.57,7.43,7.51,5674500,7.27
2015-02-24,7.46,7.49,7.30,7.48,3070600,7.24
2015-02-23,7.43,7.47,7.23,7.45,2300200,7.211
2015-02-20,7.43,7.43,7.43,7.43,000,7.192
2015-02-19,7.43,7.43,7.43,7.43,000,7.192
2015-02-18,7.50,7.50,7.35,7.43,1233800,7.192
2015-02-17,7.37,7.45,7.32,7.44,3228800,7.202
2015-02-16,7.25,7.39,7.23,7.37,4908700,7.134
2015-02-13,7.30,7.30,7.13,7.19,3929800,6.96
2015-02-12,7.03,7.29,7.03,7.26,11313800,7.028
2015-02-11,7.07,7.08,7.00,7.03,1461100,6.805
2015-02-10,7.05,7.10,6.97,7.01,2862300,6.786
2015-02-09,6.95,7.09,6.95,6.99,2365400,6.766
2015-02-06,7.05,7.12,6.99,7.03,2680000,6.805
2015-02-05,7.01,7.15,6.99,7.10,4396700,6.873
2015-02-04,7.19,7.19,7.03,7.08,3972800,6.853
2015-02-03,7.02,7.11,6.95,7.06,8315700,6.834
2015-02-02,7.01,7.14,6.96,7.04,5586600,6.815
2015-01-30,7.19,7.19,7.04,7.06,4360500,6.834
2015-01-29,7.16,7.26,6.98,7.13,5896600,6.902
2015-01-28,7.32,7.34,7.19,7.21,4319000,6.979
2015-01-27,7.19,7.36,7.19,7.33,12675900,7.095
2015-01-26,7.24,7.24,7.12,7.19,2921700,6.96
2015-01-23,7.18,7.25,7.15,7.21,7552400,6.979
2015-01-22,6.98,7.24,6.98,7.08,8333500,6.853
2015-01-21,6.80,7.11,6.80,7.01,10020500,6.786
2015-01-20,6.88,6.96,6.78,6.79,6450800,6.573
2015-01-19,6.96,6.99,6.58,6.71,11775500,6.495
2015-01-16,7.04,7.09,6.91,6.93,9313900,6.708
2015-01-15,7.15,7.17,7.03,7.14,3965300,6.911
2015-01-14,7.26,7.26,7.01,7.11,8449000,6.882
2015-01-13,7.18,7.23,7.11,7.22,4196400,6.989
2015-01-12,7.20,7.24,7.11,7.18,4160000,6.95
2015-01-09,7.09,7.24,7.09,7.13,7459600,6.902
2015-01-08,7.06,7.16,7.06,7.10,8116700,6.873
2015-01-07,7.02,7.12,6.96,7.00,8853100,6.776
2015-01-06,7.20,7.25,7.00,7.05,10977600,6.824
2015-01-05,7.15,7.23,7.05,7.19,6567300,6.96
2015-01-02,7.13,7.24,7.06,7.16,4408900,6.931
2015-01-01,7.06,7.06,7.06,7.06,000,6.834
